block,blockHash,timestamp,chainlink,aave,eth1,eth10,eth100,weth1,weth10,weth100
23550146,0x48b40c3b6994883c31c855df76f9bf9b7c239f48db0c817c63c01f152172d16e,2025-10-10T21:55:47Z,3895.6125231598576,3900.3575903791807,3820.27224,3818.554369,3804.26302804,3876.206379,3865.1172363,3809.88270074
23550149,0x2d3bc4c47bfee30b6d6a1736612d2e4f90c1192775ade0c40721878a9be914f3,2025-10-10T21:56:23Z,3895.6125231598576,3900.3575903791807,3820.27224,3818.5543691,3803.47493719,3995.098092,3975.0419098,3841.59592238
23550152,0xc95b5657044806a49fd810cb8d2eb9962f6a8f399a96e53289d715b77ecbddbb,2025-10-10T21:56:59Z,3895.6125231598576,3921.68310794465,3813.238716,3808.1459504,3791.43009385,3832.3076,3820.3081764,3812.7267944
23550155,0xb2af93abd21b4e5d3e10c06daa37acd92fd31871a12a0cbe9da29c38db6487f5,2025-10-10T21:57:35Z,3962.373717455958,3921.68310794465,3815.924616,3814.340395,3801.71666285,3832.341241,3828.8895566,3824.79380807
23550158,0x9dc81e6503a19460aa691c032dc1656c72f925960896a9de013bcebe8323048f,2025-10-10T21:58:11Z,3962.373717455958,3952.925108241169,3838.328556,3836.5985286,3821.99205811,3871.650228,3865.271486,3836.52849003
23550161,0x90c841c726866f8f8549cee4825d24b69f209b7f6e40e2c01e9491474e7217d7,2025-10-10T21:58:47Z,3962.373717455958,3952.925108241169,3839.773397,3837.2868234,3824.78195818,3838.92672,3836.5993341,3829.96110894
23550164,0x8371f6f1211e107963363bee91045ac298d4541aefb10f65bb16747d8c25f88b,2025-10-10T21:59:23Z,3962.373717455958,3952.925108241169,3847.432774,3845.352068,3831.33360772,3847.056354,3844.6335231,3831.75051405
23550167,0xda148c7c1b024c12194e8d737d2467aa11510403a302fa75d58dd532399812e0,2025-10-10T21:59:59Z,3962.373717455958,3952.925108241169,3847.432774,3845.352068,3831.00604418,3863.960374,3857.5163424,3835.33774197
23550170,0x81024980cdd7930237008f2b40446bdeaa74e3fe2d914384374acb451bc1fb9e,2025-10-10T22:00:35Z,3962.373717455958,3952.925108241169,3864.252675,3857.2824298,3835.73407071,3864.774449,3862.0160116,3853.83416443
23550173,0xf29ee03ce5b808037d25557e80f59257c425f080124fd54526f174d0a00627bf,2025-10-10T22:01:11Z,3962.373717455958,3952.925108241169,3886.349388,3881.7945259,3863.21245204,3868.716639,3863.302821,3853.61207185
23550176,0x6aa69e81ee184c4b443b3e6b978b4ece2ec9fc1c3f1fa16727c477917584aa94,2025-10-10T22:01:47Z,3962.373717455958,3952.925108241169,3862.989579,3861.4814391,3848.98104697,3875.400974,3872.7444617,3860.36070457
23550179,0xbce8a742130a8a0d2564b217efdb029cf367a1d48cb0909b2d5a54f641462a79,2025-10-10T22:02:23Z,3962.373717455958,3952.925108241169,3925.946874,3923.5546602,3901.5028139,3898.813604,3891.0076813,3873.12221973
23550182,0x7aeb28907a58882783a9ac0fb86925f1032d070dfbf45e5b36cf91c8c962e8a0,2025-10-10T22:02:59Z,3962.373717455958,3952.925108241169,3905.029371,3900.5876949,3882.94119061,3903.091902,3901.0446483,3885.62966802
23550185,0x5063599290a4257685f6d3f7efcd65667cf4bd17fbd3393c6c1915fc526af9eb,2025-10-10T22:03:35Z,3937.2707687570796,3932.9967102260493,3893.46978,3891.6485667,3879.05483988,3910.21327,3907.3464913,3885.99078794
23550188,0x613bd1a6ebbf8efe47017c722bbb8ac6a419cd883f7e422ee5cb1b21728989de,2025-10-10T22:04:11Z,3937.2707687570796,3932.9967102260493,3893.469781,3891.6485666,3878.25452811,3906.903801,3903.6359585,3892.69980194
23550191,0x4f58d99f9bb20f8a12adec50ee288448983e3b5b0402779d452faf76d4bd96fc,2025-10-10T22:04:47Z,3937.2707687570796,3932.9967102260493,3892.806387,3891.1887355,3878.25452837,3903.531139,3894.1293863,3881.57856299
23550192,0x421e085a31e315c2358ad8769965950726e92f73b94b35e8c0fa0695bd3d214c,2025-10-10T22:04:59Z,3906.9099499663484,3932.9967102260493,3890.988992,3887.9963111,3866.41398793,3905.341741,3903.0635957,3884.59575235
